path,label
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014819.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014775.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014833.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014887.jpg,Suzuki Aerio Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014821.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014638.jpg,Scion xD Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014672.jpg,Spyker C8 Convertible 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014688.jpg,Spyker C8 Convertible 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014740.jpg,Spyker C8 Convertible 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014675.jpg,Spyker C8 Convertible 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014704.jpg,Spyker C8 Convertible 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014800.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014761.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014816.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014645.jpg,Scion xD Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014870.jpg,Suzuki Aerio Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014810.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014884.jpg,Suzuki Aerio Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014668.jpg,Spyker C8 Convertible 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014844.jpg,Suzuki Aerio Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014653.jpg,Scion xD Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014659.jpg,Scion xD Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014773.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014691.jpg,Spyker C8 Convertible 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014868.jpg,Suzuki Aerio Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014932.jpg,Suzuki Kizashi Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014822.jpg,Spyker C8 Coupe 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014856.jpg,Suzuki Aerio Sedan 2007
