path,label
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014427.jpg,Rolls-Royce Ghost Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004783.jpg,Chevrolet Camaro Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014391.jpg,Rolls-Royce Phantom Drophead Coupe Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015652.jpg,Volkswagen Golf Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015225.jpg,Tesla Model S Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003206.jpg,Bentley Arnage Sedan 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013708.jpg,Mitsubishi Lancer Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013576.jpg,Mercedes-Benz S-Class Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004355.jpg,Chevrolet Silverado 1500 Hybrid Crew Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005594.jpg,Chevrolet Silverado 2500HD Regular Cab 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000180.jpg,Acura TL Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008323.jpg,Ferrari California Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010103.jpg,Geo Metro Convertible 1993
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008418.jpg,Ferrari 458 Italia Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003078.jpg,BMW Z4 Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/015024.jpg,Suzuki SX4 Hatchback 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009076.jpg,Ford Ranger SuperCab 2011
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000723.jpg,Aston Martin V8 Vantage Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004431.jpg,Chevrolet Corvette Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003598.jpg,Bugatti Veyron 16.4 Convertible 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007104.jpg,Dodge Ram Pickup 3500 Quad Cab 2009
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/001660.jpg,Audi S5 Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002249.jpg,BMW 1 Series Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013414.jpg,Mercedes-Benz E-Class Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007628.jpg,Dodge Durango SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014871.jpg,Suzuki Aerio Sedan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010515.jpg,Honda Odyssey Minivan 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004564.jpg,Chevrolet Corvette Ron Fellows Edition Z06 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012902.jpg,MINI Cooper Roadster Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013003.jpg,Mazda Tribute SUV 2011
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002796.jpg,BMW M5 Sedan 2010
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003148.jpg,Bentley Continental Supersports Conv. Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010429.jpg,Honda Odyssey Minivan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012361.jpg,Lamborghini Aventador Coupe 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/013162.jpg,Mercedes-Benz 300-Class Convertible 1993
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/004284.jpg,Cadillac Escalade EXT Crew Cab 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009862.jpg,GMC Acadia SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/007569.jpg,Dodge Challenger SRT8 2011
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/010091.jpg,GMC Savana Van 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011667.jpg,Infiniti QX56 SUV 2011
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002177.jpg,BMW 1 Series Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/014940.jpg,Suzuki Kizashi Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/006299.jpg,Chrysler Town and Country Minivan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000134.jpg,Acura RL Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012794.jpg,Lincoln Town Car Sedan 2011
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/002385.jpg,BMW 3 Series Wagon 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012215.jpg,Jeep Compass SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/012933.jpg,Maybach Landaulet Convertible 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008959.jpg,Ford Edge SUV 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/000368.jpg,Acura TSX Sedan 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/009370.jpg,Ford F-150 Regular Cab 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/005674.jpg,Chevrolet Silverado 1500 Classic Extended Cab 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/003788.jpg,Buick Regal GS 2012
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/008712.jpg,Ford Mustang Convertible 2007
/content/drive/My Drive/基於深度學習之視覺辨識專論/HW1/training_data/011040.jpg,Hyundai Sonata Hybrid Sedan 2012
